state,Reopen date
Alaska,4/24/2020
California,N/A
Colorado,N/A
Connecticut,05/20/20
Delaware,N/A
District of Columbia,N/A
Florida,
Guam,N/A
Hawai'i,05/07/20
Idaho,05/01/20
Illinois,N/A
Indiana,05/04/20
Kansas,05/04/20
Kentucky,N/A
Louisiana,N/A
Maine,05/01/20
Maryland,N/A
Massachusetts,05/18/20
Michigan,N/A
Missouri,05/04/20
Montana,04/26/20
Nevada,05/15/20
New Jersey,N/A
New Mexico,05/01/20
New York,N/A
North Carolina,N/A
North Dakota,N/A
Ohio,05/04/20
Oklahoma,04/24/20
Oregon,N/A
Pennsylvania,N/A
Rhode Island,N/A
South Dakota,N/A
Tennessee,05/01/20
Texas,N/A
Utah,05/16/20
Vermont,N/A
Virginia,N/A
Washington,05/05/20
West Virginia,N/A
Wisconsin,N/A
Wyoming,N/A
Tennessee,05/01/20
